check_in,avg_price
2024-08-31,143.66666666666666
2024-09-01,112.8076923076923
2024-09-02,116.55555555555556
2024-09-03,112.03703703703704
2024-09-04,79.88888888888889
2024-09-05,108.96296296296296
2024-09-06,124.25925925925925
2024-09-07,125.55555555555556
2024-09-08,109.51851851851852
2024-09-09,78.07407407407408
2024-09-10,109.51851851851852
2024-09-11,80.07407407407408
2024-09-12,124.92592592592592
2024-09-13,132.74074074074073
2024-09-14,138.5185185185185
2024-09-15,118.03703703703704
2024-09-16,123.44444444444444
2024-09-17,116.29629629629629
2024-09-18,79.25925925925925
2024-09-19,121.0
2024-09-20,120.37037037037037
2024-09-21,137.77777777777777
2024-09-22,108.11111111111111
2024-09-23,80.81481481481481
2024-09-24,122.07407407407408
2024-09-25,116.03703703703704
2024-09-26,121.25925925925925
