Day,National Holiday,San Antonio Events,Six Flags Events,Date
Sunday,,,,01-09-2024
Monday, Labor Day,,,02-09-2024
Tuesday,,,,03-09-2024
Wednesday,,,,04-09-2024
Thursday,,,,05-09-2024
Friday,,,,06-09-2024
Saturday,,,Fright Fest,07-09-2024
Sunday,,,Fright Fest,08-09-2024
Monday,,,Fright Fest,09-09-2024
Tuesday,,,Fright Fest,10-09-2024
Wednesday,,,Fright Fest,11-09-2024
Thursday,,,Fright Fest,12-09-2024
Friday,,,Fright Fest,13-09-2024
Saturday,,,Fright Fest,14-09-2024
Sunday,,,Fright Fest,15-09-2024
Monday,,,Fright Fest,16-09-2024
Tuesday,,,Fright Fest,17-09-2024
Wednesday,,,Fright Fest,18-09-2024
Thursday,,,Fright Fest,19-09-2024
Friday,,,Fright Fest,20-09-2024
Saturday,,,Fright Fest,21-09-2024
Sunday,,,Fright Fest,22-09-2024
Monday,,,Fright Fest,23-09-2024
Tuesday,,,Fright Fest,24-09-2024
Wednesday,,,Fright Fest,25-09-2024
Thursday,,,Fright Fest,26-09-2024
Friday,,,Fright Fest,27-09-2024
Saturday,,,Fright Fest,28-09-2024
Sunday,,,Fright Fest,29-09-2024
Monday,,,Fright Fest,30-09-2024
Tuesday,,,Fright Fest,01-10-2024
Wednesday,,,Fright Fest,02-10-2024
Thursday,,,Fright Fest,03-10-2024
Friday,,,Fright Fest,04-10-2024
Saturday,,,Fright Fest,05-10-2024
Sunday,,,Fright Fest,06-10-2024
Monday,,,Fright Fest,07-10-2024
Tuesday,,,Fright Fest,08-10-2024
Wednesday,,,Fright Fest,09-10-2024
Thursday,,,Fright Fest,10-10-2024
Friday,,,Fright Fest,11-10-2024
Saturday,,,Fright Fest,12-10-2024
Sunday,,,Fright Fest,13-10-2024
Monday,Columbus Day,,Fright Fest,14-10-2024
Tuesday,,,Fright Fest,15-10-2024
Wednesday,,,Fright Fest,16-10-2024
Thursday,,,Fright Fest,17-10-2024
Friday,,,Fright Fest,18-10-2024
Saturday,,,Fright Fest,19-10-2024
Sunday,,,Fright Fest,20-10-2024
Monday,,,Fright Fest,21-10-2024
Tuesday,,,Fright Fest,22-10-2024
Wednesday,,,Fright Fest,23-10-2024
Thursday,,,Fright Fest,24-10-2024
Friday,,,Fright Fest,25-10-2024
Saturday,,,Fright Fest,26-10-2024
Sunday,,,Fright Fest,27-10-2024
Monday,,,Fright Fest,28-10-2024
Tuesday,,,Fright Fest,29-10-2024
Wednesday,,,Fright Fest,30-10-2024
Thursday,,,Fright Fest,31-10-2024
